,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,177,NBLD87,"1,080.00",0,0,"1,080.00","1,080.00","1,080.00",25,"1,080.00",,177,NBLD87,-,"1,080.00","1,080.00","1,080.00","1,080.00","1,080.00",0,0,"1,080.00",25,"1,080.00","27,000.00",1,0,0,0,0,0,"1,101.55","1,085.01","1,225.00","1,015.50",
,,178,NESDO,"1,416.00",-38,-2.61,"1,435.00","1,439.00","1,411.10",926,"1,454.00",,178,NESDO,-,"1,435.00","1,439.00","1,411.10","1,416.00","1,416.00",0,0,"1,418.27",926,"1,454.00","1,313,320.30",31,-38,27.9,-2.61,1.98,-0.16,"1,539.87","1,531.77","1,715.00","1,380.10",
,,179,NFS,560,-5,-0.88,562,572,556.1,"6,699.00",565,,179,NFS,-,562,572,556.1,560,560,0,0,561.58,"6,699.00",565,"3,762,036.00",82,-5,15.9,-0.88,2.86,-0.28,600.25,613.95,744.6,550,
,,180,NGPL,411,-3.9,-0.94,415,415,410.3,"98,091.00",414.9,,180,NGPL,-,415,415,410.3,411,411,0,0,413.04,"98,091.00",414.9,"40,515,875.50",234,-3.9,4.7,-0.94,1.15,-0.5,435.82,424.28,502,343,
,,181,NHDL,635,-2,-0.31,635,635,627.2,345,637,,181,NHDL,-,635,635,627.2,635,635,0,0,630.24,345,637,"217,433.60",10,-2,7.8,-0.31,1.24,0.75,643.52,658.17,796,606.3,
,,182,NHPC,266,-2,-0.75,265,270.5,263,"221,133.00",268,,182,NHPC,-,265,270.5,263,266,266,0,0,265.28,"221,133.00",268,"58,662,907.00",681,-2,7.5,-0.75,2.85,0.27,277.68,250.88,340,178.6,
,,183,NIBD84,"1,035.00",0.9,0.09,"1,035.00","1,035.00","1,035.00",25,"1,034.10",,183,NIBD84,-,"1,035.00","1,035.00","1,035.00","1,035.00","1,035.00",0,0,"1,035.00",25,"1,034.10","25,875.00",1,0.9,0,0.09,0,0,"1,054.68","1,050.40","1,130.00","1,030.00",
,,184,NIBLGF,8.85,-0.01,-0.11,8.83,8.85,8.83,"1,200.00",8.86,,184,NIBLGF,-,8.83,8.85,8.83,8.85,8.85,0,0,8.85,"1,200.00",8.86,"10,618.00",3,-0.01,0.02,-0.11,0.23,0.02,9.49,9.25,11.81,8.24,
,,185,NIBLSTF,8.43,-0.14,-1.63,8.58,8.65,8.4,"17,974.00",8.57,,185,NIBLSTF,-,8.58,8.65,8.4,8.43,8.43,0,0,8.53,"17,974.00",8.57,"153,364.42",16,-0.14,0.25,-1.63,2.98,-1.22,9.15,8.98,10.85,8.02,
,,186,NIBSF2,8.82,-0.18,-2,8.79,8.82,8.79,500,9,,186,NIBSF2,-,8.79,8.82,8.79,8.82,8.82,0,0,8.81,500,9,"4,403.00",3,-0.18,0.03,-2,0.34,0.16,9.21,9.03,11.13,8.1,
,,187,NICA,320,-4.4,-1.36,320,324.8,319.1,"64,199.00",324.4,,187,NICA,-,320,324.8,319.1,320,320,0,0,320.93,"64,199.00",324.4,"20,603,064.10",323,-4.4,5.7,-1.36,1.79,-0.29,347.51,340.88,411,304.5,
,,188,NICBF,9.21,0.01,0.11,9.21,9.21,9.21,100,9.2,,188,NICBF,-,9.21,9.21,9.21,9.21,9.21,0,0,9.21,100,9.2,921,1,0.01,0,0.11,0,0,9.48,9.29,11.2,8.45,
,,189,NICD83/84,"1,011.00",5.7,0.57,"1,011.00","1,011.00","1,011.00",125,"1,005.30",,189,NICD83/84,-,"1,011.00","1,011.00","1,011.00","1,011.00","1,011.00",0,0,"1,011.00",125,"1,005.30","126,375.00",3,5.7,0,0.57,0,0,"1,074.20","1,038.37","1,142.00","1,005.00",
,,190,NICD88,"1,100.00",0,0,"1,100.00","1,100.00","1,100.00",75,"1,100.00",,190,NICD88,-,"1,100.00","1,100.00","1,100.00","1,100.00","1,100.00",0,0,"1,100.00",75,"1,100.00","82,500.00",2,0,0,0,0,0,"1,076.31","1,063.90","1,153.00","1,019.20",
,,191,NICFC,9.1,0,0,9.1,9.1,9.05,"2,100.00",9.1,,191,NICFC,-,9.1,9.1,9.05,9.1,9.1,0,0,9.08,"2,100.00",9.1,"19,058.00",13,0,0.05,0,0.55,0.27,9.35,9.21,9.89,8.37,
,,192,NICGF2,9.22,-0.28,-2.95,9.22,9.22,9.22,300,9.5,,192,NICGF2,-,9.22,9.22,9.22,9.22,9.22,0,0,9.22,300,9.5,"2,766.00",3,-0.28,0,-2.95,0,0,9.4,9.25,10.13,8.33,
,,193,NICL,496,-4,-0.8,496,500,493,"5,833.00",500,,193,NICL,-,496,500,493,496,496,0,0,495.39,"5,833.00",500,"2,889,596.40",42,-4,7,-0.8,1.42,0.12,510.82,510.91,620.2,475,
,,194,NICLBSL,547.7,-7.2,-1.3,555,558,547,"10,574.00",554.9,,194,NICLBSL,-,555,558,547,547.7,547.7,0,0,549.29,"10,574.00",554.9,"5,808,226.20",129,-7.2,11,-1.3,2.01,-0.29,574.42,571.11,679,527,
,,195,NICSF,8.73,-0.27,-3,8.8,8.81,8.73,"1,900.00",9,,195,NICSF,-,8.8,8.81,8.73,8.73,8.73,0,0,8.75,"1,900.00",9,"16,617.00",4,-0.27,0.08,-3,0.92,-0.18,9.25,9.07,9.97,8.04,
,,196,NIFRA,247,-1.1,-0.44,247,249,246.1,"26,300.00",248.1,,196,NIFRA,-,247,249,246.1,247,247,0,0,247.08,"26,300.00",248.1,"6,498,233.20",273,-1.1,2.9,-0.44,1.18,-0.03,261.78,263.83,299,233.9,
